event_name,ACC_OWNERSHIP,ACC_MM_ACCOUNT,USG_P2P_COUNT,ACC_4G_COV,AFF_DATA_INCOME,USG_MPESA_USERS,GEN_GAP_ACC,USG_CROSSOVER,USG_MPESA_ACTIVE
Telebirr Launch,15.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Safaricom Ethiopia Commercial Launch,0.0,0.0,0.0,15.0,-20.0,0.0,0.0,0.0,0.0
M-Pesa Ethiopia Launch,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Fayda Digital ID Program Rollout,10.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0
Foreign Exchange Liberalization,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
P2P Transaction Count Surpasses ATM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
M-Pesa EthSwitch Integration,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0
EthioPay Instant Payment System Launch,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIS-II Strategy Launch,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Safaricom Ethiopia Price Increase,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
